Account Code,Name,Account type
111,Tiền mặt,Bank and Cash
112,Tiền gửi Ngân hàng,Bank and Cash
113,Tiền đang chuyển,Current Assets
121,Chứng khoán kinh doanh,Current Assets
128,Đầu tư nắm giữ đến ngày đáo hạn,Current Assets
131,Phải thu của khách hàng,Receivable
133,Thuế GTGT được khấu trừ,Current Assets
136,Phải thu nội bộ,Current Assets
138,Phải thu khác,Current Assets
141,Tạm ứng,Current Assets
151,Hàng mua đang đi đường,Current Assets
152,"Nguyên liệu, vật liệu",Current Assets
153,"Công cụ, dụng cụ",Current Assets
154,"Chi phí sản xuất, kinh doanh dở dang",Current Assets
155,Thành phẩm,Current Assets
156,Hàng hóa,Current Assets
157,Hàng gửi đi bán,Current Assets
158,Hàng hoá kho bảo thuế,Current Assets
161,Chi sự nghiệp,Current Assets
171,Giao dịch mua bán lại trái phiếu chính phủ,Current Assets
211,Tài sản cố định hữu hình,Fixed Assets
212,Tài sản cố định thuê tài chính,Non-current Assets
213,Tài sản cố định vô hình,Non-current Assets
214,Hao mòn tài sản cố định,Non-current Assets
217,Bất động sản đầu tư,Non-current Assets
221,Đầu tư vào công ty con,Non-current Assets
222,"Đầu tư vào công ty liên doanh, liên kết",Non-current Assets
228,Đầu tư khác,Non-current Assets
229,Dự phòng tổn thất tài sản,Non-current Assets
241,Xây dựng cơ bản dở dang,Non-current Assets
242,Chi phí trả trước,Non-current Assets
243,Tài sản thuế thu nhập hoãn lại,Non-current Assets
244,"Cầm cố, thế chấp, ký quỹ, ký cược",Non-current Assets
331,Phải trả cho người bán,Payable
333,Thuế và các khoản phải nộp Nhà nước,Current Liabilities
334,Phải trả người lao động,Current Liabilities
335,Chi phí phải trả,Current Liabilities
3351,Trích trước chi phi lãi vay,Current Liabilities
336,Phải trả nội bộ,Current Liabilities
337,Thanh toán theo tiến độ kế hoạch hợp đồng xây dựng,Current Liabilities
338,"Phải trả, phải nộp khác",Current Liabilities
341,Vay và nợ thuê tài chính,Current Liabilities
343,Trái phiếu phát hành,Current Liabilities
344,"Nhận ký quỹ, ký cược",Current Liabilities
347,Thuế thu nhập hoãn lại phải trả,Current Liabilities
352,Dự phòng phải trả,Current Liabilities
353,Quỹ khen thưởng phúc lợi,Current Liabilities
356,Quỹ phát triển khoa học và công nghệ,Current Liabilities
357,Quỹ bình ổn giá,Current Liabilities
411,Vốn đầu tư của chủ sở hữu,Equity
412,Chênh lệch đánh giá lại tài sản,Equity
413,Chênh lệch tỷ giá hối đoái,Equity
414,Quỹ đầu tư phát triển,Equity
417,Quỹ hỗ trợ sắp xếp doanh nghiệp,Equity
418,Các quỹ khác thuộc vốn chủ sở hữu,Equity
419,Cổ phiếu quỹ,Equity
421,Lợi nhuận sau thuế chưa phân phối,Equity
441,Nguồn vốn đầu tư xây dựng cơ bản,Equity
461,Nguồn kinh phí sự nghiệp,Equity
466,Nguồn kinh phí đã hình thành TSCĐ,Equity
511,Doanh thu bán hàng và cung cấp dịch vụ,Income
515,Doanh thu hoạt động tài chính,Income
521,Các khoản giảm trừ doanh thu,Income
611,Mua hàng,Expenses
621,"Chi phí nguyên liệu, vật liệu trực tiếp",Expenses
622,Chi phí nhân công trực tiếp,Expenses
623,Chi phí sử dụng máy thi công,Expenses
